book_dimensions,count
8⁰,153648
4⁰,82812
12⁰,64558
2⁰,53605
1/2⁰,33088
1⁰,15732
8⁰.,10091
1/4⁰,8811
4⁰.,6746
⁰,5615
12⁰.,5131
,4712
2⁰.,4102
1/8⁰,2691
1/2⁰.,1989
18⁰,1882
16⁰,1879
24⁰,1676
4�,1194
obl. 1⁰,980
obl. 1/2⁰,953
obl.1/2⁰,808
broadsheet,783
32⁰,708
1⁰.,678
1/12⁰,650
octavo,513
quarto [fewer than 5⁰ pages,387
1/4⁰.,351
quarto,326
duodecimo,301
long 12⁰,244
17 cm,240
34 x 21 cm,223
obl.4⁰,217
obl.2⁰,193
16 cm,193
19 cm,180
18 cm,163
21 cm,157
1/16⁰,147
s.sh.fol,143
18⁰.,139
2⁰ cm,136
obl.8⁰,135
16⁰.,133
folio,131
obl. 4⁰,130
obl.1/8⁰,123
64⁰,116
1/8⁰.,111
obl.1/12⁰,108
15 cm,107
21 cm (8⁰,107
35 x 21 cm,107
22 cm,104
obl.12⁰,104
2⁰ cm. (4⁰,104
octavo [fewer than 5⁰ pages,102
24⁰.,99
4⁰ in 8's,94
16⁰ in 8's,91
obl. 1/4⁰,87
obl.1⁰,87
quarto [fewer than 5⁰ pages],86
obl. 8⁰,81
folio [fewer than 5⁰ pages,80
15 cm. 8⁰,75
11 cm,74
1⁰ cm,72
14 cm,72
obl. 2⁰,70
8,69
34 x 22 cm,68
35 x 22 cm,67
23 cm,66
1/fol,64
33 x 21 cm,59
fol,59
4,58
8⁰ (22 cm,58
44 cm,56
obl.1/4⁰,54
32 x 2⁰ cm,53
34 cm,53
long 24⁰,53
obl.16⁰,51
39 cm (2⁰,51
obl. 1/8⁰,50
2⁰ cm (8⁰,49
22 cm (8⁰,47
1 /2⁰,47
33 x 2⁰ cm,44
45 cm,44
1/2�,43
2⁰(2,42
21 cm. (4⁰,41
33 cm,41
31 x 2⁰ cm,40
1�,39
caption title; folio [fewer than 5⁰ pages,38
2�,37
34 x 2⁰ cm,37
13 cm,36
3⁰ cm,34
obl. 1⁰.,34
1/12⁰.,34
21 cm. (8⁰,33
24 cm,33
46 cm,33
31 x 19 cm,33
42 x 34 cm,33
⁰.,32
caption title; quarto [fewer than 5⁰ pages,32
31 cm,32
36 x 22 cm,32
32 cm,32
long 8⁰,31
1/2,30
39 x 32 cm,30
43 cm,30
1 ⁰,29
39 cm,29
32 x 19 cm,28
obl. 1/2⁰.,28
35 cm,28
42 cm,27
4⁰ cm,26
8⁰ (21 cm,26
duodecimo [fewer than 5⁰ pages,26
2⁰ cm (4⁰,26
48 cm (2⁰,26
41 cm,25
39 x 25 cm,25
45 cm (2⁰,24
obl. 1/4⁰.,24
32 x 21 cm,24
36 x 21 cm,24
29 x 2⁰ cm,24
folio [fewer than 5⁰ pages],24
obl. 12⁰,24
12,24
4⁰ x 26 cm,23
16 cm. 8⁰,23
24⁰ in 12's,23
38 x 31 cm,23
3⁰ x 19 cm,23
2⁰(3,23
26 cm,23
21 x 17 cm,22
41 x 33 cm,22
36 x 23 cm,22
31 cm (2⁰),22
12 cm,22
19 cm. (4⁰,22
44 cm (2⁰,21
49 cm,21
25 cm,21
obl. 1/12⁰,21
39 x 31 cm,21
44 x 35 cm,20
43 cm (2⁰,20
4⁰ x 32 cm,20
1/24⁰,20
5⁰ cm,20
19 cm (4⁰,20
43 x 27 cm,19
24mo,19
43 x 34 cm,19
16 cm (8⁰,19
4⁰ x 25 cm,19
28 cm,18
obl. 12,18
43 x 26 cm,18
Obl.4⁰,18
8⁰ ,18
2⁰ x 16 cm,18
long 2⁰,18
35 x 2⁰ cm,17
3⁰ x 2⁰ cm,17
32 cm (2⁰),17
3⁰ cm (4⁰),17
42 x 33 cm,17
22 x 18 cm,17
8⁰ in 4's,17
39 x 26 cm,16
23 cm (8⁰,16
28 x 21 cm,16
38 x 25 cm,16
long12⁰,16
5⁰ cm (2⁰,16
18 cm (4⁰,16
33 x 22 cm,16
42 cm (2⁰,16
26 x 2⁰ cm,16
8⁰ (2⁰ cm,16
28 x 23 cm,16
2⁰ cm. (8⁰,16
48 cm,16
27 x 21 cm,15
42 x 26 cm,15
27 cm,15
46 cm (2⁰,15
4⁰ cm (2⁰,15
4⁰ in 6's,15
48⁰,15
23 x 19 cm,15
47 cm,15
34 cm (1/2⁰,15
39 cm (2⁰),15
23 x 18 cm,14
51 cm,14
13 x 21 cm,14
octavo [fewer than 5⁰ pages],14
22 cm. (4⁰,14
2⁰ x 17 cm,14
38 cm (2⁰,14
36 cm,14
13 x 22 cm,14
36 cm (2⁰,14
4⁰ x 31 cm,14
19 cm (4⁰),14
32⁰.,14
18 cm. 4⁰,14
19 cm. 4⁰,14
32⁰ in 8's,14
32 cm (2⁰,13
31 x 21 cm,13
52 cm,13
26 x 19 cm,13
14 cm (8⁰),13
25 x 2⁰ cm,13
Broadside,13
24 x 2⁰ cm,13
38 x 24 cm,13
38 cm,13
3⁰ x 23 cm,13
44 x 27 cm,13
19 cm (8⁰,13
35 cm (2⁰),13
15 cm (8⁰,13
1/2⁰ and 2⁰,13
1/2 sh.fol,13
29 cm,13
29 cm. (2⁰,13
43 x 35 cm,13
31 cm (1/2⁰,12
35 cm (2⁰,12
obl.1/16⁰,12
35 x 23 cm,12
32 cm (1/2⁰,12
49 cm (2⁰,12
long24⁰,12
44 x 28 cm,12
14 cm. 8⁰,12
caption title; folio [fewer than 5⁰ pages],12
4.,12
39 x 24 cm,12
15 cm (8⁰),12
29 cm (2⁰),12
36 cm (2⁰),12
3⁰ x 24 cm,12
14 x 23 cm,12
25 x 19 cm,12
41 x 31 cm,12
29 cm (4⁰),12
24 x 19 cm,12
18 cm (8⁰,12
42 x 25 cm,12
4⁰ ,12
37 x 23 cm,12
22 cm. (8⁰,12
31 x 18 cm,12
37 cm (2⁰,12
37 x 24 cm,12
27 cm. 2⁰,12
27 x 22 cm,11
1/16⁰.,11
obl. 16⁰,11
15 cm. 12⁰,11
s.sh.4⁰,11
37 x 25 cm,11
41 x 34 cm,11
34 x 23 cm,11
24 cm. (4⁰,11
18 cm (4⁰),11
12⁰ ,11
s.sh.fol.,11
2⁰ x 13 cm,11
41 x 25 cm,11
29 x 18 cm,11
25 cm (4⁰,11
27 cm (4⁰,11
33 x 19 cm,11
37 cm,11
27 x 23 cm,11
38 x 32 cm,11
32 x 22 cm,10
31 x 22 cm,10
42 x 27 cm,10
45 x 28 cm,10
33 cm (1/2⁰,10
3⁰ cm (1/2⁰,10
1/4�,10
1⁰ cm (16⁰),10
12 x 19 cm,10
