,0
,361623
Broadside poems,18284
Poems,14089
Advertisements,11647
Broadsides,11343
Sermons,10081
Almanacs,7770
Letters,5617
Plays,5082
Addresses,4263
Songs,3132
Fiction,3031
Newspapers,2288
Periodicals,1836
Juvenile literature,1801
Prospectuses,1782
Booksellers' advertisements,1760
Essays,1543
Petitions,1396
Catalogs,1394
Novels,1176
Dialogues,1002
Grammars,919
Newsbooks,803
Catechisms,777
Funeral sermons,717
Laws,710
Bills,648
Hymns,618
Questions and answers,558
Psalters,541
Satires,540
Prayers,536
Hymnals,521
Directories,508
Biographies,499
Ballads,491
Blank forms,491
Academic dissertations,489
Ordination sermons,392
Textbooks,384
Elegies,358
Devotional literature,352
Manuals (Handbooks,337
Epistolary novels,326
Chapbooks,325
Prayer books,304
Memoirs,295
Dictionaries,288
Carriers' addresses,277
Booksellers' catalogs,275
Guidebooks,265
Thanksgiving day proclamations,245
Fast day proclamations,243
Primers (Instructional books,241
Campaign literature,232
Travel literature,215
Narratives,214
Spellers,204
Proclamations,197
Funeral addresses,188
Musical works,185
Legal works,179
Playbills,177
Fast-day sermons,170
Readers,169
Subscribers' lists,167
Legislative addresses,164
Technical formularies,163
Anthologies,163
Trial proceedings,161
Maps,160
Comedies,159
Thanksgiving sermons,156
Captivity narratives,154
Lectures,143
Election sermons,142
Fourth of July addresses,135
Treaties,134
Library catalogs,124
Liturgical books,122
Session laws,120
Fables,120
Legislative proceedings,116
Auction catalogs,114
Odes,105
Tragedies,105
Songsters,104
Gallows speeches,102
Medical formularies,99
Libretti,98
Sales catalogs,91
College catalogs,90
Autobiographies,85
Diaries,84
Publishers' advertisements,81
Abridgements,81
Cookbooks,79
Execution sermons,73
Military histories,68
Printers' advertisements,67
Alphabet books,61
Chronicles,59
Legal formularies,58
National songs,58
Imaginary voyages,58
Acrostics,56
Parliamentary petitions,54
Translations,52
Religious works,50
Local histories,47
Regulations,46
Jestbooks,45
Artillery election sermons,44
Occasional sermons,43
City directories,43
Annual reports,42
Legal instruments,41
Dedication sermons,41
Bibliographies,39
Facetiae,39
Ephemerides,38
Legal petitions,38
Indexes,38
Installation sermons,37
Burlesques,37
Book prospectuses,36
Book auction catalogs,36
Record-keeping works,36
Historical works,35
Maxims,34
Eulogies,33
Calendars,33
Humorous works,32
Charters,30
Illustrated works,29
Song sheets,28
Military registers,28
Farewell sermons,28
Anti-Catholic literature,27
Voting registers,27
Writing books,26
Allegories,26
Baccalaureate addresses,25
Division lists,25
Children's sermons,24
Gazetteers,24
Genealogies,24
Account books,23
Administrative regulations,23
Atlases (Geographic,23
Short stories,23
Operas,23
Glossaries,22
Exploration literature,21
Verse,21
Ephemera,21
Instructional works,20
Military manuals,20
Pilot guides,19
Occasional poems,19
Discoursive works,19
Epitaphs,19
Riddles,19
Historical fiction,18
Phrase books,18
Constitutions,18
Etiquette books,18
New Year sermons,18
Theater programs,18
Military regulations,17
"Broadsides, English",17
Lyric poems,17
Table books,16
Romances,16
Drawing books,16
Memorials (Commemorative,15
Royal petitions,15
Farces,15
Poetical miscellanies,15
Conversion narratives,15
Formularies,14
Company prospectuses,14
Sea stories,14
Parables,14
Copy books (Penmanship,14
New Year addresses,14
Visitation sermons,13
Tragicomedies,13
Membership lists,13
Protest literature,13
2rbgenr,13
Thanksgiving day addresses,13
Erotica,12
Trade catalogs,12
Pamphlet wars,12
Anniversary sermons,12
Doomsday literature,12
Myths and legends,12
Blank Forms,12
Epistolary fiction,11
Herbals,11
Emblem books,11
Schedules,11
Games,11
Mathematical recreations,11
Pharmacopoeias,11
Folk tales,11
Scores,10
Gothic novels,10
Proverbs,10
Exhibition catalogs,10
Confessions,10
Drama,10
Parliamentary addresses,10
Imaginary conversations,10
Survivalist literature,9
Speeches,9
Programs,9
Scientific works,9
Fourth of July sermons,9
Navy lists,9
Books of hours,9
Instruction books,9
Biographical fiction,9
Encyclopedias,8
Bills of mortality,8
Bible stories,8
Century sermons,8
Obituaries,8
Convicts' addresses,8
Devotional calendars,8
Indulgences,8
Penmanship manuals,8
Price lists,8
Recreations,7
Political works,7
Fairy tales,7
Comic histories,7
"Laws, Session",7
"Laws, session",7
Caricatures,7
Pastoral poems,7
Juvenile Literature,7
"Specimens, type",7
Christmas sermons,7
Propaganda,7
Publishers' catalogs,6
Manuals(Handbooks,6
Geographic works,6
Courtesy books,6
Congressional addresses,6
Puzzles,6
Alternative publications,6
Annals,6
Satire,6
Lampoons,6
Addresses.,6
Broadside ballads,6
Invitations,6
Robinsonades,5
Perpetual calendars,5
Type specimens,5
Anti-slave trade literature,5
Breviaries,5
Rituals,5
Family histories,5
Ballad operas,5
Parodies,5
Academic addresses,5
Conference programs,5
Armorials,5
Occasional addresses,5
Metamorphic pictures,5
Literary miscellanies,4
Miscellanies,4
Viewbooks,4
Yearbooks,4
letters,4
Contracts,4
Wordbooks,4
Celestial atlases,4
xxx,4
Quotations,4
Wedding sermons,4
Booksellers' catalogues,4
Concordances,4
Subscription books,4
Rebuses,4
Half century sermons,4
Auction Catalogs,4
Festival books,4
Registers,3
Anatomical atlases,3
Royal ordinances,3
Ciphers,3
Exercise books (Penmanship,3
Anagrams,3
Memorials (Legal,3
Orations,3
poems,3
Epics,3
Voter lists,3
Reference works,3
Sales catalogues,3
Alphabet rhymes,3
Subscription lists,3
Antislavery literature,3
Memorials,3
Apocalyptic sermons,3
Handbooks,3
Masques,3
Museum catalogs,3
Alphabets (Writing systems,3
English poetry,3
Biography,3
Part books,3
Juvenilia,2
Subscription publications,2
"Elegiac poetry, English",2
Roadbooks,2
Field notes,2
Hornbooks,2
Gospel books,2
Deeds,2
Gift books,2
Military orders,2
Folklore,2
Affidavits,2
Blow books,2
Epistolary Novels,2
Booksellers' Catalogs,2
Advertisments,2
Literature of prejudice,2
"Ballads, English",2
Artists' books,2
Poetry of places,2
Carol books,2
Epistolary poetry,2
Subscription proposals,2
Broadsides.,2
Survivors' narratives,2
Auction catalogues,2
"Journals, maritime",2
Circulars,2
Certificates,2
Penmanship specimen books,2
Morality plays,2
Thesauri,2
Adventure stories,2
Utopian literature,2
Book of hours,2
"Theology, Doctrinal",2
Promptbooks,2
Synopses,2
Pattern books,2
Epigrams,2
Nonce collections,2
Adaptations,2
Oaths,2
Primers (Devotional books,2
Operettas,2
Eclogues,2
Programmes,2
Genalogies,2
Social customs,2
Orders in council,2
Essays.,2
Petition,2
Newsletters,2
anuals (Handbooks,2
Booksellers advertisements,2
Lodge rituals,1
Spirit communications,1
Votes,1
Laboratory notes,1
Christening books,1
Family trees,1
sermons,1
Livres d'artistes,1
Publisher's advertisements,1
Picaresque fiction,1
Prize books (Provenance,1
Broadesides,1
Periocials,1
Evangeliaries,1
Adverisements,1
Atlases (Scientific,1
Brevaries,1
Nursery stories,1
"Almanacs, American",1
12 rbgenr,1
Anti-clerical literature,1
Biils,1
Manuals (Liturgical books,1
Legislative hearings,1
Neo-Latin poems,1
b0 Letters,1
Transactions,1
Indentures,1
Netherlands,1
Other,1
Alamancs,1
Harlequinades,1
Discovery narratives,1
Commonplace books,1
Service books,1
Missals,1
Manuals (Handbooks),1
Plays.,1
Fast day sermons,1
Administrative Regulations,1
Report cards,1
Gallows speeches y 1723,1
Devotional works,1
"Dissertations, academic",1
zScotland,1
English drama (Comedy,1
Political campaigns,1
Pilots (Handbooks,1
Dramas,1
"Harris, Benjamin",1
Treatises,1
Military unit histories,1
Merchant Manuals,1
Gothic fiction,1
Lampoons TEST,1
Board games,1
"Forms, blank",1
Petitoins,1
Bonds (Legal records,1
Publishers' advertisement,1
Casts lists,1
Atlases,1
Advertisements.,1
New England,1
Legal proceedings,1
Gazetters,1
lt 4/10/2009,1
SErmons,1
Livres d artistes,1
Advertisement,1
Scenarios,1
Logbooks,1
Underground publications,1
Religous works,1
Penny poems,1
Legislative procedures,1
Text books,1
Grammar,1
Novellas,1
Political science,1
Abridgments,1
Religious Works,1
Heroic dramas,1
"Epistolary poetry, English",1
Bookseller's advertisements,1
Fabliaux,1
Bible,1
Merchant manuals,1
Newspaper clippings,1
Religious disputations,1
Death,1
Sporting event programs,1
Payment,1
Cookery books,1
Trials,1
Real property,1
Fast day addresses,1
Logs,1
Question and answers,1
Utopian literature.,1
Lecture notes,1
Comic books,1
Miracle narratives,1
Begging poems,1
Catalogues,1
Ethics,1
"Hours, books of",1
Thanksgiving day sermons,1
Literature of protest,1
Commemorative works,1
Awards,1
plays,1
Prospectus,1
Offprints,1
Booksellers' asvertisements,1
lt 7/29/2010,1
Baptismal records,1
Broadsheets,1
Maritime journals,1
"Prospectuses, commercial",1
"Prospectuses, business",1
Biogarphies,1
Periiodicals,1
University catalogs,1
Etymological dictionaries,1
Memorials (Commemorative),1
Fantasy literature,1
Prayer books.,1
Ouestion and answers,1
Essaysy,1
Dance of death,1
Tradegies,1
Acting editions,1
Devoltional literature,1
Funeral books,1
"Elegiac poetry, American",1
American poetry,1
Mystery and detective fiction,1
